city,rainfall,temperature,aqi,humidity,heat_index,orders_completed,active_hours,acceptance_rate,idle_time,avg_delivery_time,zone_demand,order_drop_rate,delivery_delay,traffic_level,zone_risk,experience,past_claims,trust_score,income_drop,premium_amount,weather_source
chennai,13.21,29.34,146.09,70.45,33.57,75.87,11.24,87.54,,40.45,79.9,11.1,24.74,49.92,44.9,2.35,1.0,60.83,0,61.46,deterministic_fallback
bangalore,19.22,25.09,51.9,59.73,25.09,77.72,11.06,79.23,50.91,27.83,86.76,6.46,20.05,29.77,48.98,3.26,1.0,70.97,0,57.04,deterministic_fallback
chennai,21.01,31.31,103.48,75.14,40.15,55.69,8.68,84.18,57.01,39.33,66.15,9.39,28.64,63.91,48.9,1.98,1.0,61.65,0,68.69,deterministic_fallback
hyderabad,11.87,34.18,108.37,72.81,48.89,85.61,8.71,84.07,33.2,37.36,96.23,3.74,29.67,37.54,,7.23,1.0,94.37,0,31.95,deterministic_fallback
mumbai,26.71,39.65,132.33,73.31,60.0,44.56,5.82,67.83,74.67,49.69,60.2,4.54,26.96,77.41,51.96,4.96,1.0,69.43,1,70.34,deterministic_fallback
kolkata,,,125.71,80.74,46.05,58.94,7.03,85.11,35.65,42.11,81.85,8.3,24.42,55.72,48.11,4.36,1.0,79.23,0,62.58,deterministic_fallback
chennai,17.11,33.43,96.75,64.87,42.6,87.15,10.52,94.13,38.02,33.42,70.92,8.07,28.37,41.47,29.82,8.09,,100.0,0,39.21,deterministic_fallback
chennai,,29.51,98.16,,32.63,67.7,10.85,78.63,42.77,35.34,63.55,,23.65,39.29,30.39,0.0,1.0,68.58,0,60.4,deterministic_fallback
mumbai,15.61,25.72,129.53,72.95,25.72,71.7,10.56,91.52,50.53,32.05,75.79,5.55,29.66,57.48,35.35,4.41,0.0,87.03,0,49.92,deterministic_fallback
bangalore,9.97,29.69,145.56,65.2,33.27,68.45,10.35,92.14,41.62,33.87,69.24,8.21,24.09,51.55,43.83,2.79,2.0,77.19,0,62.17,deterministic_fallback
delhi,14.4,38.77,184.13,46.91,49.01,40.75,8.0,76.7,38.84,44.24,42.53,8.31,40.08,73.25,53.03,2.76,2.0,62.85,1,88.19,deterministic_fallback
