feature,importance_mean,importance_std
past_claims,0.27221626780117103,0.01229672354718153
trust_score,0.21489987420352355,0.012335244479817292
zone_risk,0.20972073450181045,0.016545666682933384
delivery_delay,0.04783565822291404,0.007187348400891358
order_drop_rate,0.04422639671841648,0.006185319172703781
experience,0.017656747912899215,0.0032106964658781835
aqi,0.012935032017197493,0.002403330378985931
rainfall,0.012687079354994371,0.0021414320311661057
orders_completed,0.008976133216725635,0.002192868285104109
traffic_level,0.004194930662336588,0.00143403974954125
avg_delivery_time,0.004174161458620984,0.0010661363209954107
active_hours,0.0012334893602518604,0.0016426192781449985
heat_index,0.0005845264858228977,0.00046531122577655613
zone_demand,0.0005777900554789356,0.0010083640845473083
temperature,0.0005156190252577908,0.000839585774163199
acceptance_rate,0.0003032388653758933,0.0009751030539309103
city,0.00019897355449362275,0.0005195236681534195
idle_time,1.7794487131350678e-05,0.0006723323131344644
humidity,-0.001021788628963946,0.0009204589756034345
